,track_id,track_name,artists,track_genre,popularity,energy,tempo,valence,danceability,loudness,intensity,cluster
392,6ITdND5IQ7lHzjkyJZSt53,それがすべてさ,Masaharu Fukuyama,acoustic,34,0.89,102.644,0.425,0.527,-5.651,{1},43
418,5NqGfELjcdvRIUuhgZJ34W,Marigold,Aimyon,acoustic,50,0.745,106.094,0.413,0.545,-3.098,{1},43
455,4GiLKZ6Fd3d5UMJMGuzAA0,Laid,Matt Nathanson,acoustic,50,0.89,119.862,0.744,0.565,-5.481,{1},43
476,1ytsxlw6P6gsCc3RrYweyj,Lonely With Me,Parachute,acoustic,51,0.809,87.013,0.628,0.589,-5.6,"{0, 1}",43
491,5hhhrZMKz1NEZM7jRWufbf,Bob,Frank Turner,acoustic,30,0.713,83.69,0.361,0.415,-5.529,"{0, 1}",43
493,7EcFRiCKqijYsuA5UbNnQZ,Perfect Government,Frank Turner,acoustic,30,0.876,91.948,0.607,0.474,-5.052,{1},43
496,5u2HaXFymnYNePtwI5bU3t,Haven't Been Doing So Well,Frank Turner,acoustic,30,0.892,81.928,0.799,0.367,-3.91,"{0, 1}",43
497,79keCNa2NAa4xMInUQCATJ,"The Legend of Olog-hai, Pt. 2",The Bridge City Sinners,acoustic,30,0.729,116.943,0.462,0.258,-6.457,{1},43
516,4kXcndvaQEROosxdcbJqzK,あの夏も 海も 空も,Masaharu Fukuyama,acoustic,31,0.631,78.522,0.328,0.403,-5.94,{0},43
521,2jHEySxCzzODFWmPzt084L,18 ~eighteen~,Masaharu Fukuyama,acoustic,31,0.76,117.135,0.44,0.609,-5.16,{1},43
528,4tK4ARuilOrBzwVQK73E0Y,The Remedy (I Won't Worry),Jason Mraz,acoustic,60,0.867,94.52,0.795,0.589,-4.523,{1},43
543,2vOFdBs2kss9U0ezRGTG2E,Remnants of What People Used to Be,Days N Daze,acoustic,30,0.611,88.372,0.894,0.5,-10.826,{0},43
553,1HfxPaJggVwFsvOtHbVzMz,Live Like We're Dying,Kris Allen,acoustic,55,0.893,92.011,0.94,0.589,-2.948,{1},43
571,4qScDvgzJs0Oo30kFaJIuy,Waver,Sakura Fujiwara,acoustic,29,0.682,75.02,0.636,0.626,-5.656,{0},43
573,7E1Gs6mg3MOERIWo0sglXL,聖域,Masaharu Fukuyama,acoustic,31,0.871,107.721,0.636,0.368,-3.032,{1},43
584,4BguxPKygliNCIkzwWlYxU,All My Loving (Original Version),Masaharu Fukuyama,acoustic,31,0.746,102.87,0.656,0.725,-8.214,{1},43
597,02FzDPhxAoCZp6Fz4GzMmL,Goodbye Lulu Pt.2,Days N Daze,acoustic,30,0.864,98.11,0.548,0.389,-3.218,{1},43
617,203WkDdprjHpN37QMBCMyJ,HEY!,Masaharu Fukuyama,acoustic,30,0.889,95.289,0.789,0.548,-6.106,{1},43
618,1pIMxRddmCGalHnRbLFkWg,Have It All,Jason Mraz,acoustic,53,0.617,82.029,0.592,0.643,-4.95,{0},43
619,3smgLNxWHdmUekrwDXBTfv,Trouble Sleeping,The Perishers,acoustic,48,0.813,91.053,0.347,0.428,-4.478,{1},43
624,4UU97IGHOhBhZjCUgDFUiz,Sink Or Swim,Tyrone Wells,acoustic,47,0.812,119.979,0.394,0.613,-3.524,{1},43
664,1K0OGTEEPMRdxFGRt5WYRI,約束の丘,Masaharu Fukuyama,acoustic,30,0.852,92.748,0.635,0.524,-4.708,{1},43
673,3tInTDUq8wdIMw5ftohmqJ,Girls Chase Boys,Ingrid Michaelson,acoustic,56,0.828,84.835,0.69,0.518,-5.725,"{0, 1}",43
674,6Vn8lTVMjILXQCjZUXS8n4,The Woman I Love,Jason Mraz,acoustic,48,0.647,79.68,0.678,0.591,-8.34,{0},43
676,1PEpGWRE4Tjsk2qy5teW4p,美しき花,Masaharu Fukuyama,acoustic,29,0.797,105.901,0.766,0.524,-6.611,{1},43
679,0qAMjeQFyd1qD0LDiV8gWp,Black Horse And The Cherry Tree,KT Tunstall,acoustic,67,0.786,104.833,0.917,0.748,-7.788,{1},43
681,2C3gh14oarzTtv3aY3HJ0m,Coming Home,Drew Holcomb;Ellie Holcomb;Drew Holcomb & The Neighbors,acoustic,56,0.81,104.066,0.741,0.625,-5.995,{1},43
688,0NkeEkDFOby5xOZ7BIKVuD,Setting Forth,Eddie Vedder,acoustic,53,0.78,119.369,0.804,0.549,-5.08,{1},43
692,5CU7ewecONNlWAJHu04HJQ,Come on In,The Bridge City Sinners,acoustic,28,0.911,114.776,0.851,0.544,-2.73,{1},43
693,31GGw4QarlH4neWIHsFQeq,Laugh While You Can,The Bridge City Sinners,acoustic,28,0.879,119.996,0.74,0.672,-3.693,{1},43
705,54gjtcoJgDxt7jpnpwSy0o,パラレル・ラブ,Yosui Inoue;Tamio Okuda,acoustic,28,0.826,117.648,0.894,0.656,-3.929,{1},43
727,3tBS9yN7auzP4PeAEzfGEg,全て身に覚えのある痛みだろう?,Takehara Pistol,acoustic,27,0.776,88.002,0.617,0.625,-7.354,"{0, 1}",43
728,3NxSIxMnq9tDmQtoyHQqte,Life Is A Bitch,Luther Allison,acoustic,41,0.744,102.344,0.778,0.594,-10.096,{1},43
730,2mKjs6s0Z1imKKb6gOk628,You and I Both,Jason Mraz,acoustic,57,0.812,98.954,0.74,0.615,-6.573,{1},43
733,25wiOYoBrS6ITwcPGlTSXi,Stones,Front Porch Step,acoustic,27,0.776,95.999,0.402,0.636,-4.765,{1},43
734,7f0PCIJFVw7U5tbuFH4rb0,Need You,Penny and Sparrow,acoustic,58,0.642,78.51,0.555,0.545,-7.344,{0},43
741,7IdC5YvSg9O1WfRSUtSpNt,Don't Start Me To Talkin',Sonny Boy Williamson II,acoustic,30,0.761,115.048,0.706,0.699,-7.264,{1},43
744,302k5Cd7lIeZvekkjWcU3k,You're a Witch,Harley Poe,acoustic,28,0.936,91.952,0.849,0.529,-4.061,{1},43
745,74ooA3upXyi3AUg9Ndz2Ck,Non Serviam,Frank Turner,acoustic,27,0.961,95.069,0.417,0.455,-4.527,{1},43
750,0N8Xztr4pBHJ7V0moJWhbO,愛を伝えたいだとか,Aimyon,acoustic,65,0.85,100.008,0.793,0.673,-5.021,{1},43
754,2I4gO3ZoMLZaCeWMZGOQ7o,Night Bus,Gabrielle Aplin,acoustic,38,0.815,118.226,0.362,0.458,-7.16,{1},43
758,3zUMHRZa7wgqtoCsBfBSpt,I'd Rather Be With You [Radio Edit],Joshua Radin,acoustic,28,0.671,82.342,0.397,0.512,-7.738,{0},43
779,3VA8T3rNy5V24AXxNK5u9E,King of Anything,Sara Bareilles,acoustic,61,0.762,119.003,0.81,0.676,-4.172,{1},43
784,2bjfXe8SOsCl17b29eGLvg,No More - Live,Eddie Vedder,acoustic,45,0.605,59.327,0.424,0.337,-7.84,{0},43
789,1cADd4hbtfYDFesyH8i1eB,The Work,Frank Turner,acoustic,27,0.913,89.987,0.59,0.491,-4.526,"{0, 1}",43
796,6D16aFALxgo3b5Hw7Na1Fw,Fall Out,Days N Daze,acoustic,28,0.832,93.674,0.591,0.434,-9.513,{1},43
816,2xkMeEvHnRhj2URvART1yE,陽はまた昇る,Yu Takahashi,acoustic,27,0.928,113.927,0.808,0.532,-1.963,{1},43
837,395XDt5vt8DKguJDjGtYLU,Living in the Moment,Jason Mraz,acoustic,48,0.628,84.141,0.7,0.65,-7.16,{0},43
838,4A9E08l34BkPsCDAmOpHxb,Other Side Of The World,KT Tunstall,acoustic,61,0.684,80.039,0.369,0.501,-5.368,{0},43
847,5Jx83G7IadblXTyvMMo7Uu,Perfectly Dysfunctional,Days N Daze,acoustic,27,0.879,88.614,0.647,0.316,-9.414,"{0, 1}",43
848,7n8U8nb1U1yafqgqlZirnf,Internet Song,Apes of the State,acoustic,27,0.66,81.061,0.856,0.741,-5.116,{0},43
872,6szDk6GLuxosArjs48QzFq,純風,Kazuyoshi Saito,acoustic,27,0.868,111.154,0.975,0.731,-6.217,{1},43
875,0MWxVd7Hk952psJoL249TT,Jericho,Andrew Ripp,acoustic,55,0.716,70.919,0.363,0.501,-4.661,{0},43
877,7pv5juhfq1kco6wioikGHt,Invincible,Eddie Vedder,acoustic,51,0.742,107.028,0.2,0.578,-5.494,{1},43
884,0uHjs4zpo52qiFeBpdrXYs,VI: Don't Let Love Bog You Down,RENT STRIKE,acoustic,26,0.797,114.18,0.642,0.452,-5.229,{1},43
889,1Q6A7Uy4vXDfcnigKgwPZp,High 5,Calibretto 13,acoustic,26,0.9,79.965,0.644,0.382,-4.938,{0},43
890,0WSGIwIEqpfe3jGJ5fZsHr,Don't Wanna Be Without Ya,Penny and Sparrow,acoustic,58,0.86,115.0,0.29,0.651,-7.8,{1},43
915,4vNGuGIIzh6soeBTw8hjfq,A Thousand Miles,Boyce Avenue;Alex Goot,acoustic,43,0.731,95.036,0.257,0.564,-7.538,{1},43
922,5Hnfk1EuhqQuh7QhcnikR1,KISSして,Masaharu Fukuyama,acoustic,27,0.873,93.059,0.775,0.324,-3.67,{1},43
924,2V2mEnBBn4HsDRNxuVJvwP,Diamonds,Mone Kamishiraishi,acoustic,26,0.918,111.017,0.634,0.755,-3.558,{1},43
941,5KcGMnoxVuAUexDFoOHROL,None Exempt,Days N Daze,acoustic,27,0.752,105.466,0.844,0.425,-4.649,{1},43
947,5rBVF19fMatEF6AstKKIR7,In the Midnight Hour (feat. J.J. Grey),Marc Broussard;J.J. Grey,acoustic,26,0.785,111.993,0.878,0.721,-4.473,{1},43
949,3Z9P9XOLlISMK0MooS8gsN,She's a Problem,Get Dead,acoustic,25,0.953,97.429,0.667,0.484,-3.557,{1},43
957,6wSooKrykEc9YTRyIYXF49,Something Beautiful,Tim Halperin,acoustic,40,0.768,117.947,0.0562,0.524,-7.821,{1},43
963,0tu4zWxyFV1Djbf4hLY3xP,深夜高速,Kazuyoshi Saito,acoustic,26,0.727,79.633,0.83,0.474,-5.892,{0},43
975,4uBcAJZmH3LkH2rCDe8LgC,青空、ひとりきり - Remastered 2018,Yosui Inoue,acoustic,26,0.805,116.141,0.963,0.762,-4.696,{1},43
976,0k3eft3oFkqIJdBFuHFHGW,Someday,Sakura Fujiwara,acoustic,26,0.723,105.969,0.625,0.644,-4.954,{1},43
983,3eocijVoKZ340ZIkvsatUc,To-Do Lists (Color Coded),She/Her/hers,acoustic,25,0.835,95.009,0.549,0.566,-7.985,{1},43
987,75i8nGJoT6Q2znZNNhUmk3,Hollow Man,Harley Poe,acoustic,26,0.821,104.687,0.618,0.448,-6.405,{1},43
999,5ieA3sRjDvak7oTrbrR6mV,Four Simple Words,Frank Turner,acoustic,25,0.881,96.9,0.173,0.335,-6.48,{1},43
1000,4pR4oQJULf7FDB54TleMyH,Jireh (My Provider),Limoblaze;Lecrae;Happi,afrobeat,64,0.778,128.25,0.628,0.443,-7.564,{2},20
1001,4Ds4bq6aqOSAp1T7DikOi4,Ainda Há Tempo,Criolo,afrobeat,44,0.8,81.303,0.483,0.58,-7.528,{1},20
1006,0tsjEf663ZNWGlIqY2c0Ms,Tô Pra Ver,Criolo;Rael,afrobeat,41,0.818,90.571,0.599,0.637,-6.851,{1},20
1007,1Vc0GbabaIukvQZeQTrNQc,Terapia,BaianaSystem,afrobeat,39,0.814,124.03,0.914,0.79,-6.358,{2},20
1009,00LmM2QLGpfb5NC7PC7qqZ,Vasilhame,Criolo,afrobeat,43,0.876,124.218,0.676,0.506,-5.877,{2},65
1011,3ARDVYRmYJx1FrvR9Zlwp2,Chuva Ácida,Criolo,afrobeat,39,0.782,94.038,0.717,0.708,-6.419,{1},20
1014,7cAxwshLN1yidrBlDePrYW,É o Teste,Criolo,afrobeat,41,0.728,91.101,0.594,0.66,-6.177,{1},20
1017,1SV0orNlJMONEKfQ9QEUrh,Até Me Emocionei,Criolo,afrobeat,38,0.789,84.96,0.549,0.772,-7.159,{1},20
1018,3KYbhVPCxYHIeZg8Zy07ay,Vida Loka I - Live,Criolo;Emicida;Mano Brown,afrobeat,44,0.877,82.109,0.662,0.434,-5.945,{1},65
1021,0mW4qfi2vus7qErr9jAeFJ,Duas Cidades,BaianaSystem,afrobeat,44,0.899,97.999,0.847,0.789,-6.363,{1},65
1023,4dr8LN0s4WhnLLTzfsZkj5,Só Mais Uma Noite - Live,Criolo;Emicida;Evandro Fióti,afrobeat,37,0.918,98.777,0.62,0.518,-5.548,{1},65
1024,098WwIoAtjDQwcpuEHAlrr,Pretos Ganhando Dinheiro Incomoda Demais,Criolo,afrobeat,48,0.715,109.859,0.347,0.637,-7.032,{1},20
1032,2e1FJPgVRQZFT53QKUR7BD,A Cada Vento - Live,Criolo;Emicida,afrobeat,41,0.861,98.474,0.8,0.651,-6.625,{1},65
1040,4kSYNMfWnruGsc9knR15xV,Dia da Caça,BaianaSystem,afrobeat,38,0.867,109.003,0.358,0.486,-5.237,{1},65
1041,0d23nai9JamDpc48xhyeRt,Fio de Pumo (Padê Onã),Criolo,afrobeat,42,0.819,92.996,0.732,0.77,-6.487,{1},20
1042,6nFxTIa7abSSk8GzZFO1zB,Pegue Pra Ela,Criolo,afrobeat,37,0.738,119.791,0.725,0.611,-7.341,{1},20
1044,7oSCgig81QrE0hr6weiwgc,Cria de Favela,Criolo,afrobeat,36,0.749,111.986,0.7,0.692,-4.948,{1},20
1046,4BKI37hGrod94ofXtVycYL,Calçada,Criolo,afrobeat,37,0.771,111.099,0.76,0.817,-5.132,"{1, 2}",20
1048,7bLMLwx6gJrCXoppD2YqOu,Subirusdoistiozin - Live,Criolo;Emicida,afrobeat,37,0.907,94.346,0.562,0.569,-5.619,{1},65
1052,7BEjw8UVIjhXw26bWkFHQA,Etérea,Criolo,afrobeat,32,0.72,116.982,0.374,0.824,-8.189,{1},20
1060,3qdalnFVTJdRheIRZyuNmP,Sonar (Adubado),BaianaSystem;Buguinha Dub;Curumin;Edgar,afrobeat,34,0.82,99.922,0.588,0.694,-7.885,{1},20
1064,0YM62MzsqtMsbCS0E89bvx,Sueño Erótico,Los Amigos Invisibles,afrobeat,35,0.823,120.03,0.837,0.683,-6.475,{2},20
1069,2GMlGVZ3Co8CkDm1RiPFRw,São Jorge,Metá Metá,afrobeat,33,0.732,112.956,0.831,0.64,-7.078,{1},20
1071,3169PUGpN64JNpAhR5PW4Y,Amar Es Algo Más,Los Amigos Invisibles,afrobeat,36,0.746,107.981,0.613,0.692,-6.359,{1},20
1072,2MwJYrmAqLPOxd3pSLNdYb,Redoma,BaianaSystem;Samba de Lata de Tijuaçú,afrobeat,34,0.918,100.041,0.391,0.779,-6.912,{1},65
1073,0s76fxVvT3GOz0sEU64v4j,Viva (Melô Dos Vileiros) - Live,Criolo;Emicida,afrobeat,32,0.868,82.15,0.733,0.653,-6.12,{1},65
1076,5vilhku7KUCbRlog1d0lBy,Fat City Strut,Mandrill,afrobeat,34,0.862,80.526,0.826,0.422,-6.534,{1},65
1078,0YLkH00Doh7W1IEEo9BA71,La Bala,Juanafé,afrobeat,34,0.826,98.046,0.77,0.6,-5.654,{1},65
1079,31P1OdwMwFh8b6kGjdLUZV,Chocolate,Criolo,afrobeat,34,0.79,135.953,0.914,0.759,-4.355,{2},20
1080,5K0z3idLxEFY0tv82NeMPe,Mariô - Live,Criolo,afrobeat,33,0.874,94.006,0.681,0.572,-7.523,{1},65
1084,0uWCzZzI1A2yxreko4iEib,Human Disco Ball,Plastilina Mosh,afrobeat,35,0.99,125.023,0.926,0.797,-8.001,{2},65
1086,6UV8gki3IIkVNP9jlxScM6,La Jardinera,Juanafé,afrobeat,33,0.724,99.929,0.965,0.696,-4.86,{1},20
1088,3nixiIoAj9SFIiNPxgUDH8,Nontsokolo,Hugh Masekela,afrobeat,0,0.736,105.009,0.942,0.801,-8.897,{1},20
1089,3U8py45D86LbBF6jZtaxMH,Soul Makossa,Manu Dibango,afrobeat,0,0.794,116.423,0.921,0.817,-8.324,"{1, 2}",20
1090,19Oj8jiVAn3qRr0DhlLU1j,Triunfo - Live,Criolo;Emicida,afrobeat,34,0.945,92.013,0.551,0.54,-5.021,{1},65
1092,4Z02tygBhQ3PZXKvwAl44s,District Six - Live,Hugh Masekela,afrobeat,0,0.711,108.127,0.858,0.778,-11.367,{1},20
1095,3xfUu8alkwuMg8UBht9TtW,Bogotá - Live,Criolo;Emicida,afrobeat,33,0.908,126.229,0.737,0.532,-6.124,{2},65
1097,33NVGT7agcN1ems0OLUlCX,Dikalo - Remix 97,Manu Dibango,afrobeat,0,0.869,99.175,0.672,0.784,-6.595,{1},65
1098,1AMkh8OSTuP6CcAvP59xL7,District Six - Live,Hugh Masekela,afrobeat,0,0.711,108.127,0.858,0.778,-11.367,{1},20
1100,1q8NdCAQ9QUjpYiqzdd3mv,Atrévete-Te-Te,Calle 13,afrobeat,75,0.878,87.991,0.883,0.829,-5.951,{1},65
1104,7CJkTdcKr5NSlgSBAKTTD5,Água (Versão Estendida),BaianaSystem;Orquestra Afrosinfônica;Antonio Carlos & Jocafi,afrobeat,34,0.8,96.998,0.763,0.74,-6.65,{1},20
1107,25WjhzidELBiE8WBROJIRs,Tô pra Onda,Afrocidade,afrobeat,29,0.846,118.025,0.505,0.71,-3.981,"{1, 2}",65
1108,2rrptPZG55VZPKE2LzLFsO,Eres Mis Ganas,Los Amigos Invisibles,afrobeat,35,0.876,124.003,0.547,0.562,-4.999,{2},65
1110,63TbBqehgYbVYaj7vt7OAf,Tá Amarrado,OQuadro;Dimak,afrobeat,30,0.834,94.967,0.941,0.881,-5.625,{1},65
1111,2KDD9eK8UrlbxKjx5XodvL,Agente Russo,Nomade Orquestra;Russo Passapusso,afrobeat,30,0.902,122.023,0.385,0.724,-6.758,{2},65
1112,0DaMxhrFFLWFSs41y64XdP,Alfazema,BaianaSystem;Nação Zumbi,afrobeat,32,0.929,129.996,0.709,0.677,-6.017,{2},65
1116,6sJRYw9CnzDyZ3mBOAVtNN,Dulce,Los Amigos Invisibles,afrobeat,33,0.819,117.971,0.827,0.758,-5.945,"{1, 2}",20
1117,52DcY4RSDQzvEEdLp1q02h,Ride On Baby - 1977 Version,William Onyeabor,afrobeat,31,0.804,104.883,0.841,0.519,-4.716,{1},20
1124,3irY15zmv8TmHe8leleLbN,Madurar,Samuca e a Selva,afrobeat,30,0.713,119.957,0.896,0.716,-6.294,{1},20
1125,6awMoxUFFPfHusyCQAhxDA,Te Lo Juro Por Madonna (Si Omba Ta Gueno),Plastilina Mosh,afrobeat,32,0.968,98.113,0.673,0.539,-5.323,{1},65
1126,6oNlBZwqefXprM721Bmksi,A Vida É Curta Pra Viver Depois,BaianaSystem;Carolaine,afrobeat,31,0.703,91.973,0.575,0.682,-6.92,{1},20
1128,438mvglmmUAmK8OARQqFvd,Dança de Airumã,BaianaSystem,afrobeat,31,0.862,108.001,0.609,0.683,-4.55,{1},65
1129,2dyDSWM5tzbssqqN4LyGCV,"Barravenida, Pt. 2",BaianaSystem,afrobeat,31,0.844,137.954,0.0822,0.532,-6.393,{2},65
1133,3TyQrs62Ma2oMsDZkayXFM,Obá Iná,Metá Metá,afrobeat,33,0.708,113.755,0.708,0.605,-5.546,{1},20
1135,49NyAaqgD1KExP3L9IgqT8,Niño Bomba,Plastilina Mosh,afrobeat,35,0.775,107.153,0.491,0.73,-8.161,{1},20
1137,1wRsvFf2MuGa0KqnkCbaQw,District Six - Live,Hugh Masekela,afrobeat,0,0.711,108.127,0.858,0.778,-11.367,{1},20
1142,3WlPw1UubxqvzMhO739BU8,Bambezela,Hugh Masekela;Gugu Shezi,afrobeat,0,0.815,111.992,0.787,0.767,-9.309,"{1, 2}",20
1143,2jR9xbXmW7L5W2qMLQprBy,Chapéu Panamá,BaianaSystem,afrobeat,31,0.932,105.01,0.471,0.824,-4.664,{1},65
1145,1b0rnT35mqbls6Mh1EwVwE,Lion Man - Live,Criolo;Emicida,afrobeat,30,0.702,84.176,0.249,0.438,-6.294,{1},20
1146,56EguJRcOCOiNV55dxin1f,District Six - Live,Hugh Masekela,afrobeat,0,0.711,108.127,0.858,0.778,-11.367,{1},20
1148,3kn7d9avE3lqlhmOK05O2X,Corazón Tatú,Los Amigos Invisibles,afrobeat,33,0.876,126.015,0.884,0.687,-6.438,{2},65
1149,4UGHgo35Dxa8ylKNaPH0yi,District Six - Live,Hugh Masekela,afrobeat,0,0.711,108.127,0.858,0.778,-11.367,{1},20
1153,3ZYakLJ3Qva6MlVXmxnjmv,La Educación,QUITAPENAS,afrobeat,27,0.916,136.705,0.934,0.497,-3.984,{2},65
1157,6i1eq94lroJKzDqz3ocjbC,Disco Ball,Los Amigos Invisibles,afrobeat,31,0.818,105.0,0.78,0.754,-7.047,{1},20
1159,3aYnx0DinQBKrjS5OjSDEq,Go Back,Tony Allen;Damon Albarn,afrobeat,29,0.911,82.34,0.724,0.501,-6.49,{1},65
1160,0H3GpvGeVrCXu0opyBwXs3,Contigo,Los Amigos Invisibles,afrobeat,30,0.933,131.982,0.743,0.642,-5.562,{2},65
1162,1CppY4y3oYEv6NIC4w9irf,Acosadora - Radio Edit,La Misa Negra,afrobeat,28,0.892,99.998,0.648,0.634,-4.395,{1},65
1163,76Id5YpwGnoxtFNceLXFMY,JAJAJA,Plastilina Mosh,afrobeat,32,0.889,122.757,0.935,0.714,-4.857,{2},65
1164,0HaeGQdShN9VUjakBQfrp6,Enzo,Plastilina Mosh,afrobeat,31,0.864,90.037,0.851,0.735,-4.801,{1},65
1167,4lCTl376EHJc2DMFkCtOPY,Chaltumay,Newen Afrobeat,afrobeat,28,0.869,124.947,0.909,0.789,-6.758,{2},65
1168,63nOQpjvgznL7lF5tEwsCs,Caminante,Newen Afrobeat,afrobeat,27,0.904,92.962,0.557,0.604,-5.338,{1},65
1171,058beKosGKglMtEQ3sZwq6,Corneteiro Luís,BaianaSystem,afrobeat,29,0.858,126.005,0.836,0.762,-4.589,{2},65
